image_id,label
cattle_5774_DSCF6685.jpg,5774
cattle_5325_DSCF8207.jpg,5325
cattle_6294_DSCF9250.jpg,6294
cattle_9736_DSCF8524.jpg,9736
cattle_0600_DJI_0143.jpg,0600
cattle_5083_DSCF9269.jpg,5083
cattle_5143_DSCF7971.jpg,5143
cattle_8094_DSCF8496.jpg,8094
cattle_5097_DSCF7885.jpg,5097
cattle_4947_DSCF8051.jpg,4947
cattle_5373_DSCF0711.jpg,5373
cattle_5083_DSCF9282.jpg,5083
cattle_4649_DSCF0414.jpg,4649
cattle_5249_DSCF7379.jpg,5249
cattle_6287_DSCF7490.jpg,6287
cattle_5208_DSCF8797.jpg,5208
cattle_5215_DSCF9188.jpg,5215
cattle_5171_DSCF9024.jpg,5171
cattle_4614_DSCF0860.jpg,4614
cattle_4716_DSCF9194.jpg,4716
cattle_3400_DSCF7954.jpg,3400
cattle_5362_DSCF0788.jpg,5362
cattle_5781_DSCF9239.jpg,5781
cattle_6184_DSCF7234.jpg,6184
cattle_5325_DSCF8225.jpg,5325
cattle_6210_DSCF7796.jpg,6210
cattle_5537_DSCF0545.jpg,5537
cattle_9773_DSCF8538.jpg,9773
cattle_4840_DSCF7783.jpg,4840
cattle_4385_DSCF0154.jpg,4385
cattle_6333_DSCF8755.jpg,6333
cattle_0300_DSCF3885.jpg,0300
cattle_5408_DSCF1023.jpg,5408
cattle_4895_DSCF7310.jpg,4895
cattle_2300_DSCF8864.jpg,2300
cattle_5507_DSCF0301.jpg,5507
cattle_5670_DSCF7481.jpg,5670
cattle_4680_DSCF1265.jpg,4680
cattle_0800_DSCF3939.jpg,0800
cattle_4614_DSCF0859.jpg,4614
cattle_4895_DSCF7315.jpg,4895
cattle_4985_DSCF9552.jpg,4985
cattle_6331_DSCF8771.jpg,6331
cattle_4456_DSCF1365.jpg,4456
cattle_4499_DSCF1222.jpg,4499
cattle_6277_DSCF7130.jpg,6277
cattle_4678_DSCF1259.jpg,4678
cattle_4680_DSCF1255.jpg,4680
cattle_6333_DSCF8776.jpg,6333
cattle_2220_DSCF1705.jpg,2220
cattle_5410_DSCF0072.jpg,5410
cattle_2900_DSCF1534.jpg,2900
cattle_4895_DSCF7311.jpg,4895
cattle_5971_DSCF0334.jpg,5971
cattle_3200_DSCF1717.jpg,3200
cattle_4748_DSCF1511.jpg,4748
cattle_3802_DSCF1546.jpg,3802
cattle_4985_DSCF9559.jpg,4985
cattle_4499_DSCF1209.jpg,4499
cattle_0500_DJI_0135.jpg,0500
cattle_5298_DSCF8093.jpg,5298
cattle_4820_DSCF8184.jpg,4820
cattle_2300_DSCF8877.jpg,2300
cattle_3300_DSCF1731.jpg,3300
cattle_5781_DSCF9224.jpg,5781
cattle_6184_DSCF7240.jpg,6184
cattle_5090_DSCF8197.jpg,5090
cattle_5090_DSCF7820.jpg,5090
cattle_4339_DSCF6850.jpg,4339
cattle_2320_DSCF1686.jpg,2320
cattle_2320_DSCF1681.jpg,2320
cattle_4613_DSCF0293.jpg,4613
cattle_4733_DSCF8116.jpg,4733
cattle_5224_DSCF9309.jpg,5224
cattle_6333_DSCF8766.jpg,6333
cattle_4339_DSCF6835.jpg,4339
cattle_4748_DSCF1509.jpg,4748
cattle_4770_DSCF6784.jpg,4770
cattle_5077_DSCF7766.jpg,5077
cattle_4986_DSCF7720.jpg,4986
cattle_5581_DSCF9520.jpg,5581
cattle_5658_DSCF7642.jpg,5658
cattle_6237_DSCF7420.jpg,6237
cattle_5403_DSCF0195.jpg,5403
cattle_5314_DSCF9215.jpg,5314
cattle_5273_DSCF7802.jpg,5273
cattle_5620_DSCF7186.jpg,5620
cattle_2220_DSCF1703.jpg,2220
cattle_5403_DSCF0214.jpg,5403
cattle_5235_DSCF8825.jpg,5235
cattle_6278_DSCF7938.jpg,6278
cattle_9635_DSCF8606.jpg,9635
cattle_3400_DSCF7952.jpg,3400
cattle_6022_DSCF6918.jpg,6022
cattle_4347_DSCF1391.jpg,4347
cattle_6184_DSCF7235.jpg,6184
cattle_5407_DSCF1012.jpg,5407
cattle_1600_DSCF7265.jpg,1600
cattle_3100_DSCF1699.jpg,3100
cattle_4499_DSCF1199.jpg,4499
cattle_5235_DSCF8829.jpg,5235
cattle_5314_DSCF9213.jpg,5314
cattle_5836_DSCF0692.jpg,5836
cattle_3812_DSCF1569.jpg,3812
cattle_2930_DSCF1764.jpg,2930
cattle_5359_DSCF0934.jpg,5359
cattle_9798_DSCF8581.jpg,9798
cattle_5953_DSCF1196.jpg,5953
cattle_3300_DSCF1729.jpg,3300
cattle_4678_DSCF1264.jpg,4678
cattle_5360_DSCF0453.jpg,5360
cattle_2600_DSCF0901.jpg,2600
cattle_3000_DSCF1644.jpg,3000
cattle_5164_DSCF7211.jpg,5164
cattle_3814_DSCF1552.jpg,3814
cattle_5815_DSCF7729.jpg,5815
cattle_5809_DSCF9098.jpg,5809
cattle_5283_DSCF7865.jpg,5283
cattle_4479_DSCF0628.jpg,4479
cattle_4479_DSCF0612.jpg,4479
cattle_2500_DSCF8983.jpg,2500
cattle_5170_DSCF9031.jpg,5170
cattle_2900_DSCF1540.jpg,2900
cattle_5215_DSCF8259.jpg,5215
cattle_4369_DSCF6886.jpg,4369
cattle_4545_DSCF0957.jpg,4545
cattle_2700_DSCF1276.jpg,2700
cattle_2000_DSCF8470.jpg,2000
cattle_5670_DSCF7475.jpg,5670
cattle_4347_DSCF1401.jpg,4347
cattle_6216_DSCF7613.jpg,6216
cattle_5761_DSCF7415.jpg,5761
cattle_4915_DSCF9488.jpg,4915
cattle_5697_DSCF9334.jpg,5697
cattle_9742_DSCF8527.jpg,9742
cattle_4986_DSCF7721.jpg,4986
cattle_4969_DSCF9403.jpg,4969
cattle_6071_DSCF1082.jpg,6071
cattle_6278_DSCF7933.jpg,6278
cattle_4840_DSCF7788.jpg,4840
cattle_5407_DSCF1040.jpg,5407
cattle_4613_DSCF0347.jpg,4613
cattle_4686_DSCF0570.jpg,4686
cattle_1800_DSCF7544.jpg,1800
cattle_2300_DSCF8870.jpg,2300
cattle_3802_DSCF1544.jpg,3802
cattle_5781_DSCF9247.jpg,5781
